"p_boot","md","p_sign","p_or","poz","M","med_dl","cv0_ort","cv0_min","isaret","boot_g","sign_g","or_g","rho_m","sd_het"
0.387289191617954,0.00208005645142573,0.65625,0.65625,3,6,-0.00016536283480284,17.2696212903219,4.34465601976999,"011010",FALSE,FALSE,FALSE,0,0.18
0.915082698421154,-0.0371366119204648,0.890625,0.890625,2,6,-0.0170253318601254,5.84701491838881,2.26053240733703,"101000",FALSE,FALSE,FALSE,0,0.18
0.920288973003845,-0.0179660731910479,0.984375,0.984375,1,6,-0.00294980616892748,11.4554800337469,0.179299460832114,"000100",FALSE,FALSE,FALSE,0,0.18
0.230505842781992,0.0121032296385038,0.34375,0.34375,4,6,0.00929450470927939,25.6568530557263,6.65264406513201,"101101",FALSE,FALSE,FALSE,0,0.18
0.706216603159435,-0.00933441305913781,0.984375,0.890625,1,6,-0.0210103966812931,60.0832360768338,18.6091208446978,"000100",FALSE,FALSE,FALSE,0,0.18
0.954885745296923,-0.0171162001155526,0.890625,0.890625,2,6,-0.00789592007778128,19.8300986303878,2.28028097500353,"011000",FALSE,FALSE,FALSE,0,0.18
0.36336403469729,0.0366068643846166,0.65625,0.34375,3,6,-0.00219166507645308,9.69791324318718,1.04837537126364,"110100",FALSE,FALSE,FALSE,0,0.18
0.265314027571889,0.0125373905392676,0.34375,0.34375,4,6,0.0104863340560417,9.06507522214447,4.55363627762363,"110101",FALSE,FALSE,FALSE,0,0.18
0.209559022655605,0.0161913758240081,0.34375,0.34375,4,6,0.0111145319568366,16.6437521419738,12.7964689120574,"110101",FALSE,FALSE,FALSE,0,0.18
0.376297283888619,0.00405098984520376,0.34375,0.34375,4,6,0.00510313109275407,13.8643219531959,6.83244953313341,"011011",FALSE,FALSE,FALSE,0,0.18
0.951965157153031,-0.0206700331010266,0.890625,0.65625,2,6,-0.0158600731618859,151.243088398472,40.3764033702601,"101000",FALSE,FALSE,FALSE,0,0.18
0.453956763773442,0.00126547983970785,0.34375,0.34375,4,6,0.00559665986706359,14.1864604231785,4.04082689564451,"110101",FALSE,FALSE,FALSE,0,0.18
0.0358668788569745,0.0274766223890222,0.109375,0.109375,5,6,0.00922336032781823,81.1916252704014,18.9122901133064,"011111",TRUE,FALSE,FALSE,0,0.18
0.973785309332699,-0.079965289840712,0.984375,0.65625,1,6,-0.0372752799654195,111.434018327006,4.28258138656032,"010000",FALSE,FALSE,FALSE,0,0.18
0.815775081592961,-0.0117198569079598,0.984375,0.984375,1,6,-0.014996083705237,4.72212831330094,0.953309929040755,"001000",FALSE,FALSE,FALSE,0,0.18
0.0134010958200998,0.0312499394464783,0.34375,0.109375,4,6,0.0237412289562249,63.9808186508738,43.8314876614532,"110101",TRUE,FALSE,FALSE,0,0.18
0.02994091371561,0.0209063387524556,0.109375,0.109375,5,6,0.00955239995024093,27.9343965917582,14.7454886876742,"111011",TRUE,FALSE,FALSE,0,0.18
