"rho_m","boot","sign","or_","cift_or","p_poz","DI","ort_fark","maks_fark","dk"
0.15,0.08,0.027,0.038,0.029,0.481,1.189,0.0189,0.0353,0.86
0.8,0.057,0.011,0.017,0.013,0.463,0.993,-0.0007,0.0332,0.82
