"etiket","X","Y","Z","moderator","dl","ocr","cv0","cv1"
"olcek_Z","MEMNUNIYET","SOY_index","KAB","Cinsiyet",-0.535656943214655,0,10.927239124408,18.6699563160073
"olcek_Z","MEMNUNIYET","SOY_index","KAB","YasGrup",-2.41288255631305,0,0.661868509580245,7.39049120245096
"olcek_Z","MEMNUNIYET","SOY_index","KAB","EgitimGrup",-0.731741978478801,0,11.8297476155964,24.5904786780982
"olcek_Z","MEMNUNIYET","SOY_index","KAB","MedeniDurum",-2.61812879761398,0,0.26006174420681,3.56545842057231
"olcek_Z","MEMNUNIYET","SOY_index","KAB","Gelir",0.462309482120688,1,7.92401594417289,4.9907622724598
"olcek_Z","MEMNUNIYET","SOY_index","KAB","MeslekGrup",-0.463865666489566,0.4,10.4075801158897,16.5502310889329
"olcek_Z","MEMNUNIYET","GUV_Saglayici","UYG","Cinsiyet",-0.555474244871183,0,4.74879106842945,8.27603773557303
"olcek_Z","MEMNUNIYET","GUV_Saglayici","UYG","YasGrup",-0.674209833760125,0,2.57132332112818,5.0461749114163
"olcek_Z","MEMNUNIYET","GUV_Saglayici","UYG","EgitimGrup",-1.2811064851813,0.333333333333333,4.60696129767253,16.5879241850139
"olcek_Z","MEMNUNIYET","GUV_Saglayici","UYG","MedeniDurum",-1.69009350246125,0,1.37433894602787,7.44889990241779
"olcek_Z","MEMNUNIYET","GUV_Saglayici","UYG","Gelir",-1.09201148146356,0.333333333333333,2.2322398482862,6.65266137980494
"olcek_Z","MEMNUNIYET","GUV_Saglayici","UYG","MeslekGrup",-1.24528512099779,0,7.55496505253309,26.2453831065723
"olcek_Z","MEMNUNIYET","GUV_Odeyici","UYG","Cinsiyet",0.634039346011227,1,1.53141877379664,0.812333147384524
"olcek_Z","MEMNUNIYET","GUV_Odeyici","UYG","YasGrup",-0.114031515878541,1,4.0371823600728,4.52482331133902
"olcek_Z","MEMNUNIYET","GUV_Odeyici","UYG","EgitimGrup",-0.742628242169908,0,7.08210244384114,14.8826940070417
"olcek_Z","MEMNUNIYET","GUV_Odeyici","UYG","MedeniDurum",-0.79664239931445,0,2.07695409118132,4.60685238131003
"olcek_Z","MEMNUNIYET","GUV_Odeyici","UYG","Gelir",-1.55808072576438,0.333333333333333,1.77106463100337,8.41201955446808
"olcek_Z","MEMNUNIYET","GUV_Odeyici","UYG","MeslekGrup",-1.32921301919421,0.2,6.15997329046088,23.2728038466099
"olcek_Z","MEMNUNIYET","GUVEN","UYG","Cinsiyet",-0.304993237234452,1,3.59608759332766,4.87850935334842
"olcek_Z","MEMNUNIYET","GUVEN","UYG","YasGrup",-0.301198976803323,1,2.8722588113192,3.8817952510552
"olcek_Z","MEMNUNIYET","GUVEN","UYG","EgitimGrup",-1.07984785782176,0.333333333333333,4.42255033744007,13.0210123657709
"olcek_Z","MEMNUNIYET","GUVEN","UYG","MedeniDurum",-1.36063367444819,0,1.53294579391442,5.97643908032304
"olcek_Z","MEMNUNIYET","GUVEN","UYG","Gelir",-1.21773759595748,0,2.17606077648598,7.35406968159894
"olcek_Z","MEMNUNIYET","GUVEN","UYG","MeslekGrup",-1.30363146420324,0.2,6.43730336632315,23.7063083024157
"olcek_Z","MEMNUNIYET","SOY_index","UYG","Cinsiyet",-0.65719770461022,0,10.927239124408,21.0827754814518
"olcek_Z","MEMNUNIYET","SOY_index","UYG","YasGrup",-3.01716035368191,0,0.661868509580245,13.5240826916688
"olcek_Z","MEMNUNIYET","SOY_index","UYG","EgitimGrup",-0.706580606542997,0,11.8297476155964,23.9794676706642
"olcek_Z","MEMNUNIYET","SOY_index","UYG","MedeniDurum",-1.84845382339922,0,0.26006174420681,1.65139049515264
"olcek_Z","MEMNUNIYET","SOY_index","UYG","Gelir",-0.064531021992861,0.666666666666667,7.92401594417289,8.45222028979027
"olcek_Z","MEMNUNIYET","SOY_index","UYG","MeslekGrup",-0.383811793140574,0.2,10.4075801158897,15.2769658104204
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ULS","Cinsiyet",-0.524307665185137,0,4.74879106842945,8.02207999931115
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ULS","YasGrup",-0.478178510883303,0,2.57132332112818,4.14788758792332
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ULS","EgitimGrup",-0.474706827867798,0.333333333333333,4.60696129767253,7.40588766182675
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ULS","MedeniDurum",-1.10115433484741,0,1.37433894602787,4.13351109012039
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ULS","Gelir",-1.55517427006522,0.333333333333333,2.2322398482862,10.5716910326602
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ULS","MeslekGrup",-0.967789784189777,0.2,7.55496505253309,19.8855781911229
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ULS","Cinsiyet",1.05981897874716,1,1.53141877379664,0.530664978641946
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ULS","YasGrup",0.00665653587498483,1,4.0371823600728,4.01039795536811
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ULS","EgitimGrup",-0.406415369799381,0.333333333333333,7.08210244384114,10.6332532446035
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ULS","MedeniDurum",-0.763551222604645,0,2.07695409118132,4.4569009328374
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ULS","Gelir",-1.69758063363988,0.333333333333333,1.77106463100337,9.67128794598334
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ULS","MeslekGrup",-1.19661546913481,0.6,6.15997329046088,20.3827287394981
"olcek_Z","MEMNUNIYET","GUVEN","ULS","Cinsiyet",-0.480501194641557,0,3.59608759332766,5.81445855909683
"olcek_Z","MEMNUNIYET","GUVEN","ULS","YasGrup",-0.0847718024045754,1,2.8722588113192,3.12636367866152
"olcek_Z","MEMNUNIYET","GUVEN","ULS","EgitimGrup",-0.505309167458192,0.333333333333333,4.42255033744007,7.3303678401144
"olcek_Z","MEMNUNIYET","GUVEN","ULS","MedeniDurum",-1.09970403934448,0,1.53294579391442,4.60386092731783
"olcek_Z","MEMNUNIYET","GUVEN","ULS","Gelir",-1.5083934539481,0.333333333333333,2.17606077648598,9.83462887993107
"olcek_Z","MEMNUNIYET","GUVEN","ULS","MeslekGrup",-1.10133459051701,0.2,6.43730336632315,19.3645545921806
"olcek_Z","MEMNUNIYET","SOY_index","ULS","Cinsiyet",-0.565834517194665,0,10.927239124408,19.2419577025068
"olcek_Z","MEMNUNIYET","SOY_index","ULS","YasGrup",-2.34537489633638,0,0.661868509580245,6.90804407958779
"olcek_Z","MEMNUNIYET","SOY_index","ULS","EgitimGrup",-0.0654361079122445,0.333333333333333,11.8297476155964,12.62972864859
"olcek_Z","MEMNUNIYET","SOY_index","ULS","MedeniDurum",-2.94918286459592,0,0.26006174420681,4.9646693673084
"olcek_Z","MEMNUNIYET","SOY_index","ULS","Gelir",-0.374257904263528,0.333333333333333,7.92401594417289,11.5208224463154
"olcek_Z","MEMNUNIYET","SOY_index","ULS","MeslekGrup",-0.148249631261042,0.8,10.4075801158897,12.0707362229403
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERISIM","Cinsiyet",-0.456336291441377,1,4.74879106842945,7.49492680719803
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERISIM","YasGrup",-1.71584719428255,0,2.57132332112818,14.3001192272794
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERISIM","EgitimGrup",-1.82145662286836,0,4.60696129767253,28.4749601494754
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERISIM","MedeniDurum",-1.35911122076512,0,1.37433894602787,5.34993320166688
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERISIM","Gelir",-1.62189207029689,0,2.2322398482862,11.3010718086939
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERISIM","MeslekGrup",-1.4776155193182,0,7.55496505253309,33.1095079478176
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERISIM","Cinsiyet",-1.09048043918406,0,1.53141877379664,4.55704803147636
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERISIM","YasGrup",-0.924080365826337,0,4.0371823600728,10.1718833561729
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERISIM","EgitimGrup",-1.12223477661168,0,7.08210244384114,21.7541728984391
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERISIM","MedeniDurum",0.189264053204798,1,2.07695409118132,1.71882064995157
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERISIM","Gelir",-1.8822763864168,0.333333333333333,1.77106463100337,11.6331321118073
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERISIM","MeslekGrup",-1.45413515806316,0,6.15997329046088,26.3694884405163
"olcek_Z","MEMNUNIYET","GUVEN","ERISIM","Cinsiyet",0.0945171293979314,1,3.59608759332766,3.27176418382154
"olcek_Z","MEMNUNIYET","GUVEN","ERISIM","YasGrup",-1.34665808128096,0,2.8722588113192,11.0425594293057
"olcek_Z","MEMNUNIYET","GUVEN","ERISIM","EgitimGrup",-1.57655259633876,0,4.42255033744007,21.3973937503185
"olcek_Z","MEMNUNIYET","GUVEN","ERISIM","MedeniDurum",-0.80251045688739,0,1.53294579391442,3.42020913664178
"olcek_Z","MEMNUNIYET","GUVEN","ERISIM","Gelir",-1.62063768089232,0,2.17606077648598,11.0028457463404
"olcek_Z","MEMNUNIYET","GUVEN","ERISIM","MeslekGrup",-1.49665540561772,0,6.43730336632315,28.7536618350838
"olcek_Z","MEMNUNIYET","SOY_index","ERISIM","Cinsiyet",-0.777681779924994,0,10.927239124408,23.7822726042811
"olcek_Z","MEMNUNIYET","SOY_index","ERISIM","YasGrup",-3.16185587403015,0,0.661868509580245,15.6296151203666
"olcek_Z","MEMNUNIYET","SOY_index","ERISIM","EgitimGrup",-1.02814894434426,0,11.8297476155964,33.07462223207
"olcek_Z","MEMNUNIYET","SOY_index","ERISIM","MedeniDurum",-1.81585489951885,0,0.26006174420681,1.59842494220597
"olcek_Z","MEMNUNIYET","SOY_index","ERISIM","Gelir",0.196997091668588,1,7.92401594417289,6.5071465946982
"olcek_Z","MEMNUNIYET","SOY_index","ERISIM","MeslekGrup",-0.517702400322513,0.4,10.4075801158897,17.465662292499
"olcek_Z","ERISIM","GUV_Saglayici","MTT","Cinsiyet",-0.0911972442276781,1,2.54058761769794,2.78317578498429
"olcek_Z","ERISIM","GUV_Saglayici","MTT","YasGrup",-1.74833692885903,0,3.68250881250381,21.1561616393616
"olcek_Z","ERISIM","GUV_Saglayici","MTT","EgitimGrup",-1.79535688872108,0,4.36955449963343,26.3118116196364
"olcek_Z","ERISIM","GUV_Saglayici","MTT","MedeniDurum",-0.493263572177836,0,2.55071142576674,4.17717793958658
"olcek_Z","ERISIM","GUV_Saglayici","MTT","Gelir",-1.76993073354586,0.333333333333333,2.04328585094058,11.995000775021
"olcek_Z","ERISIM","GUV_Saglayici","MTT","MeslekGrup",-1.34022204844865,0,11.4864054510786,43.8768238652055
"olcek_Z","ERISIM","GUV_Odeyici","MTT","Cinsiyet",-1.11241415891796,0,4.29521174336006,13.0647140847042
"olcek_Z","ERISIM","GUV_Odeyici","MTT","YasGrup",-3.34729769425426,0,0.584282216501906,16.6086981873949
"olcek_Z","ERISIM","GUV_Odeyici","MTT","EgitimGrup",-2.04870604743476,0.333333333333333,3.15780330091777,24.4977843341517
"olcek_Z","ERISIM","GUV_Odeyici","MTT","MedeniDurum",-0.325203291639042,1,1.96775888573549,2.72399231417941
"olcek_Z","ERISIM","GUV_Odeyici","MTT","Gelir",-1.01187224164952,0.333333333333333,4.73882250090094,13.0352982823001
"olcek_Z","ERISIM","GUV_Odeyici","MTT","MeslekGrup",-1.47528530268347,0,10.5621341525545,46.1806398341625
"olcek_Z","ERISIM","GUVEN","MTT","Cinsiyet",-0.677735136262737,0,3.06901614068955,6.04415792179002
"olcek_Z","ERISIM","GUVEN","MTT","YasGrup",-2.104097151831,0,2.28093934487212,18.7030106301331
"olcek_Z","ERISIM","GUVEN","MTT","EgitimGrup",-1.99901664157238,0.333333333333333,3.40459469405638,25.1320153180835
"olcek_Z","ERISIM","GUVEN","MTT","MedeniDurum",1.40085292723198,1,2.03925412652178,0.502445136810752
"olcek_Z","ERISIM","GUVEN","MTT","Gelir",-1.58693222093329,0,2.33435781188095,11.4120412801531
"olcek_Z","ERISIM","GUVEN","MTT","MeslekGrup",-1.37931769565107,0,11.1302611686761,44.2115172596169
"olcek_Z","ERISIM","SOY_index","MTT","Cinsiyet",-1.61014643759579,0,3.74830066568491,18.7547869004388
"olcek_Z","ERISIM","SOY_index","MTT","YasGrup",-1.32428515427003,0,14.1945768605249,53.3644682124792
"olcek_Z","ERISIM","SOY_index","MTT","EgitimGrup",-1.08837845296561,0.333333333333333,14.645194068987,43.4882455858744
"olcek_Z","ERISIM","SOY_index","MTT","MedeniDurum",-2.27575574715213,0,3.06755559593427,29.8634932148347
