"hucre","boot","sign","or_","cift_or","p_poz","med_dl","cv0","atla","dk"
"null_r015",0.09,0.04,0.05,0.03,0.455,-0.001,11.9,0,7.12
"null_r080",0.04,0,0.01,0,0.44,-0.01,6.9,0,7.5
"guc_r030",0.28,0.14,0.16,0.16,0.547,0.129,15,0,7.19
